	Negativos	Neutros	Positivos	%Negativos	%Positivos	%Neutros
2018-07-01	0.0	0.0	1.0	0.0	1.0	0.0
2018-07-02	0.0	0.0	1.0	0.0	1.0	0.0
2018-07-03	0.0	0.0	1.0	0.0	1.0	0.0
2018-07-04	0.0	1.0	0.0	0.0	0.0	1.0
2018-07-05	2.0	0.0	1.0	0.6666666666666666	0.3333333333333333	0.0
2018-07-06	0.0	1.0	0.0	0.0	0.0	1.0
2018-07-07	0.0	1.0	0.0	0.0	0.0	1.0
2018-07-08	67.0	12.0	6.0	0.788235294117647	0.07058823529411765	0.1411764705882353
2018-07-09	39.0	10.0	8.0	0.6842105263157895	0.14035087719298245	0.17543859649122806
2018-07-10	103.0	20.0	19.0	0.7253521126760564	0.13380281690140844	0.14084507042253522
2018-07-11	44.0	12.0	19.0	0.5866666666666667	0.25333333333333335	0.16
2018-07-12	24.0	11.0	6.0	0.5853658536585366	0.14634146341463414	0.2682926829268293
2018-07-13	488.0	137.0	59.0	0.7134502923976608	0.08625730994152046	0.20029239766081872
2018-07-14	214.0	56.0	39.0	0.6925566343042071	0.1262135922330097	0.18122977346278318
2018-07-15	15.0	5.0	4.0	0.625	0.16666666666666666	0.20833333333333334
2018-07-16	146.0	54.0	33.0	0.6266094420600858	0.14163090128755365	0.2317596566523605
2018-07-17	152.0	48.0	34.0	0.6495726495726496	0.1452991452991453	0.20512820512820512
2018-07-18	275.0	94.0	128.0	0.5533199195171026	0.2575452716297787	0.1891348088531187
2018-07-19	188.0	20.0	35.0	0.7736625514403292	0.1440329218106996	0.0823045267489712
2018-07-20	335.0	85.0	78.0	0.6726907630522089	0.1566265060240964	0.1706827309236948
2018-07-21	269.0	84.0	98.0	0.5964523281596452	0.21729490022172948	0.18625277161862527
2018-07-22	165.0	38.0	37.0	0.6875	0.15416666666666667	0.15833333333333333
2018-07-23	113.0	52.0	16.0	0.6243093922651933	0.08839779005524862	0.287292817679558
